Title,URL,Author,"Published Date","Modified Date"
"RISE with SAP: What’s in It for You?",https://www.mandsconsulting.com/rise-with-sap-whats-in-it-for-you/,"Javin Ladish","2024-05-06 08:00:00","2024-05-06 08:00:00"
"The Three Pillars of Change Management: People, Organizational, and Technology",https://www.mandsconsulting.com/the-three-pillars-of-change-management-people-organizational-and-technology/,"Quinn Brewer","2024-06-10 13:19:52","2024-06-10 13:19:52"
"Value-Driven Outcomes: Going Beyond the Obvious Choices",https://www.mandsconsulting.com/value-driven-outcomes-2/,"Quinn Brewer","2024-07-12 05:30:00","2024-07-12 05:30:00"
"How to Know if SAP is the Right ERP System for Your Business: A Step-by-Step Guide",https://www.mandsconsulting.com/how-to-know-if-sap-is-the-right-erp-system-for-your-business-a-step-by-step-guide/,"Quinn Brewer","2024-07-29 09:50:00","2024-07-29 09:50:00"
"M&S Consulting and Carahsoft Forge Dynamic Partnership to Transform Public Sector Initiatives",https://www.mandsconsulting.com/carahsoft-partnership/,"Suzanne Higgins","2024-07-22 12:03:17","2025-01-03 12:49:33"
"Disaster-Proofing Your SAP HANA Data &#8211; An Overview of Different Techniques",https://www.mandsconsulting.com/disaster-proofing-your-sap-hana-data-an-overview-of-different-techniques/,"Brandon Jones","2024-08-19 17:54:44","2024-08-19 17:54:44"
"The Evolution of RPA: Transforming Business with Intelligent Automation",https://www.mandsconsulting.com/the-evolution-of-rpa-transforming-business-with-intelligent-automation/,"Brandon Jones","2024-08-05 14:41:36","2024-08-05 14:41:36"
"Overcoming the Challenges of Launching and Scaling RPA",https://www.mandsconsulting.com/overcoming-the-challenges-of-launching-and-scaling-rpa/,"Brandon Jones","2024-08-12 12:28:28","2024-08-12 12:28:28"
"An Introduction to the Microsoft Practice at M&S Consulting: A Legacy of Innovation and Expertise",https://www.mandsconsulting.com/an-introduction-to-the-microsoft-practice/,"Brandon Jones","2024-08-02 10:33:00","2024-08-02 10:33:00"
"Introducing the AI Roadmap: Transforming Business with Strategic AI Adoption",https://www.mandsconsulting.com/introducing-the-ai-roadmap-transforming-business-with-strategic-ai-adoption/,"Quinn Brewer","2024-08-09 13:25:55","2025-01-21 15:40:34"
"The Importance of Creating Visual Solutions for Complex Data Problems",https://www.mandsconsulting.com/the-importance-of-creating-visual-solutions-for-complex-data-problems/,"Brandon Jones","2024-09-03 13:30:23","2024-09-03 13:30:23"
"Transforming Public Sector Technology Services: The Human Story Behind the M&S Consulting and Carahsoft Partnership",https://www.mandsconsulting.com/transforming-public-sector-technology-services-the-human-story-behind-the-ms-consulting-and-carahsoft-partnership/,"Suzanne Higgins","2024-08-26 14:56:11","2025-01-03 12:49:12"
"Human Coded 001: AI & Business – An Overview of the Current Landscape",https://www.mandsconsulting.com/human-coded-001/,"Quinn Brewer","2024-08-28 10:00:00","2025-06-19 19:10:48"
"Servant Leadership: The Key to Winning Together",https://www.mandsconsulting.com/servant-leadership-the-key-to-winning-together/,"Brandon Jones","2024-09-09 11:30:03","2024-09-09 11:30:03"
"Human Coded 002: Understanding Your Current Business Environment for Successful AI Integration",https://www.mandsconsulting.com/human-coded-002-understanding-your-current-business-environment-for-successful-ai-integration/,"Quinn Brewer","2024-09-11 10:00:00","2025-06-19 19:10:34"
"Level Up Your Skills: The Future of Learning Through Gamification",https://www.mandsconsulting.com/level-up-your-skills-the-future-of-learning-through-gamification/,"Quinn Brewer","2024-09-16 12:36:22","2024-09-16 12:36:22"
"Why Microsoft Technology is the Smart Choice for Modern Enterprises",https://www.mandsconsulting.com/why-microsoft-technology-is-the-smart-choice-for-modern-enterprises/,"Quinn Brewer","2024-09-23 11:39:25","2024-09-26 13:15:31"
"Carnegie Mellon University GRAAD Project Case Study",https://www.mandsconsulting.com/carnegie-mellon-university-graad-project-case-study/,"Suzanne Higgins","2024-10-07 11:59:58","2025-01-03 12:45:32"
"Human Coded 004: Unlocking Business Insights with AI-Powered Data Platforms",https://www.mandsconsulting.com/human-coded-004-unlocking-business-insights-with-ai-powered-data-platforms/,"Quinn Brewer","2024-10-09 12:18:18","2025-06-19 19:09:29"
"Maximizing Productivity: How to Lead a Large Scrum Team Effectively",https://www.mandsconsulting.com/maximizing-productivity-how-to-lead-a-large-scrum-team-effectively/,"Quinn Brewer","2024-10-14 12:52:00","2024-10-14 12:52:04"
"Elev8 GovCon Nomination Showcases M&S Consulting’s Leadership in Federal Contracting",https://www.mandsconsulting.com/elev8-govcon-nomination-showcases-ms-consultings-leadership-in-federal-contracting/,"Quinn Brewer","2024-10-21 13:21:10","2024-10-21 13:21:14"
"Human Coded 005: How RPA and IPA Are Shaping Business For The Future",https://www.mandsconsulting.com/human-coded-005/,"Quinn Brewer","2024-10-23 16:17:07","2024-11-01 16:07:38"
"Embracing AI as a Skeptical Project Manager",https://www.mandsconsulting.com/embracing-ai-as-a-skeptical-project-manager/,"Quinn Brewer","2024-11-04 17:46:48","2024-11-04 17:46:51"
"Human Coded 006: Unlocking Built-In AI To Leverage What You Already Have",https://www.mandsconsulting.com/human-coded-006-unlocking-built-in-ai-to-leverage-what-you-already-have/,"Quinn Brewer","2024-11-06 14:56:12","2024-11-19 17:01:42"
"Mastering Salesforce UI Customization: Page Layouts or Lightning Pages – Which Fits Your Needs?",https://www.mandsconsulting.com/mastering-salesforce-ui-customization/,"Quinn Brewer","2024-11-11 14:09:51","2024-11-15 16:27:53"
"Unlocking the Power of Transferable Skills in Business",https://www.mandsconsulting.com/unlocking-the-power-of-transferable-skills-in-business/,"Quinn Brewer","2024-11-18 13:10:23","2024-11-18 13:10:27"
"Human Coded 007: How Machine Learning Forecasts the Future",https://www.mandsconsulting.com/human-coded-007/,"Quinn Brewer","2024-11-20 13:28:20","2025-10-29 12:03:53"
"M&S’ SPLASH Announcements App Solves Major Salesforce Challenges",https://www.mandsconsulting.com/ms-splash-announcements-app-solves-major-salesforce-challenges/,"Suzanne Higgins","2024-11-25 13:32:57","2025-01-03 12:44:55"
"Human Coded 008: Generative AI Is Rewriting The Rules Of Business",https://www.mandsconsulting.com/human-coded-008/,"Quinn Brewer","2024-12-04 17:56:43","2024-12-04 17:58:10"
"How to Be Effective as an Introvert in Your Career",https://www.mandsconsulting.com/how-to-be-effective-as-an-introvert-in-your-career/,"Quinn Brewer","2024-12-09 14:08:52","2024-12-09 14:09:57"
"Human Coded 009: Deploying AI That Delivers",https://www.mandsconsulting.com/human-coded-009-deploying-ai-that-delivers/,"Quinn Brewer","2024-12-19 12:38:37","2024-12-19 12:38:42"
"Human Coded 010: The Ethics of AI",https://www.mandsconsulting.com/human-coded-010-the-ethics-of-ai/,"Quinn Brewer","2025-01-02 12:49:07","2025-01-02 12:51:09"
"The Art of Active Listening: Enhancing Communication in Life and Work",https://www.mandsconsulting.com/the-art-of-active-listening-enhancing-communication-in-life-and-work/,"Quinn Brewer","2025-01-07 15:35:59","2025-01-07 15:56:45"
"Human Coded 011: AI in 2024 &#8211; Lessons Learned and Predictions for the Year Ahead",https://www.mandsconsulting.com/ai-in-2024/,"Quinn Brewer","2025-01-15 17:39:11","2025-01-15 17:39:16"
"M&S Consulting Implements Moodr Health Platform to Provide Employees with Proactive Mental Health Support",https://www.mandsconsulting.com/ms-consulting-implements-moodr-health-platform-to-provide-employees-with-proactive-mental-health-support/,"Quinn Brewer","2025-01-21 15:25:42","2025-01-21 15:25:46"
"An Urgent Rescue: Delivering a Last-Minute Cloud Migration for a Critical Government Agency",https://www.mandsconsulting.com/an-urgent-rescue-delivering-a-last-minute-cloud-migration-for-a-critical-government-agency/,"Quinn Brewer","2025-02-24 12:06:48","2025-02-24 12:44:16"
"Managing Change: When Agile Sprints Aren&#8217;t Working—And What to Do About It",https://www.mandsconsulting.com/managing-change-when-agile-sprints-arent-working-and-what-to-do-about-it/,"Quinn Brewer","2025-03-04 12:00:47","2025-03-04 12:00:53"
"Low Code, No Code Platform Comparison &#8211; 2025",https://www.mandsconsulting.com/low-code-no-code-platform-comparison-2025/,"Quinn Brewer","2025-03-20 15:24:42","2025-04-07 10:59:28"
"Blueprints, Burnout, and the Human Side of Change",https://www.mandsconsulting.com/blueprints-burnout-and-the-human-side-of-change/,"Quinn Brewer","2025-04-02 15:51:11","2025-04-07 11:00:12"
"Redefining Efficiency for a Global Leader in Vision Correction",https://www.mandsconsulting.com/redefining-efficiency-for-a-global-leader-in-vision-correction/,"Quinn Brewer","2025-04-16 14:39:16","2025-04-17 10:40:21"
"Building a Robust Operations Power App to Replace a Maxed-Out SharePoint Site",https://www.mandsconsulting.com/building-a-robust-operations-power-app-to-replace-a-maxed-out-sharepoint-site/,"Quinn Brewer","2025-05-05 15:09:33","2025-05-05 15:09:36"
"Salesforce Agentforce: A New Era of Enterprise Service Automation",https://www.mandsconsulting.com/salesforce-agentforce-a-new-era-of-enterprise-service-automation/,"Quinn Brewer","2025-05-12 12:43:40","2025-05-12 13:01:31"
"Why Most Tech Projects Fail (and What to Do About It)",https://www.mandsconsulting.com/why-most-tech-projects-fail-and-what-to-do-about-it/,"Quinn Brewer","2025-05-16 11:15:10","2025-05-16 11:15:26"
"Oracle Cloud Expansion & Infrastructure as Code (IaC) Implementation Case Study",https://www.mandsconsulting.com/oracle-cloud-expansion-infrastructure-as-code-iac-implementation-case-study/,"Quinn Brewer","2025-05-30 08:05:00","2025-05-29 12:06:43"
"Introducing the Appalachia Software Factory",https://www.mandsconsulting.com/introducing-the-appalachia-software-factory/,"Quinn Brewer","2025-05-30 18:08:41","2025-11-05 12:24:00"
"Why Digital Transformation Will Define the Law Firms of Tomorrow",https://www.mandsconsulting.com/why-digital-transformation-will-define-the-law-firms-of-tomorrow/,"Leo Tomé","2025-06-06 14:48:35","2025-07-15 13:53:12"
"What Powers Digital Transformation Success in Law Firms",https://www.mandsconsulting.com/why-digital-transformation-will-define-the-law-firms-of-tomorrow-2/,"Leo Tomé","2025-08-06 13:38:51","2025-08-07 16:44:13"
"Human Coded 012: AI in 2024 &#8211; Lessons Learned and Predictions for the Year Ahead",https://www.mandsconsulting.com/human-coded-012-ai-in-2024-lessons-learned-and-predictions-for-the-year-ahead/,"Quinn Brewer","2025-09-15 12:46:01","2025-09-15 12:50:00"
"Human Coded 013: AI & the Microsoft Ecosystem: A Business Leader’s Guide",https://www.mandsconsulting.com/human-coded-013-ai-the-microsoft-ecosystem-a-business-leaders-guide/,"Quinn Brewer","2025-09-15 13:13:29","2025-09-15 13:15:50"
"Human Coded 014: The Change Equation &#8211; People, Process, and Technology",https://www.mandsconsulting.com/human-coded-014-the-change-equation-people-process-and-technology/,"Quinn Brewer","2025-09-15 13:36:39","2025-09-15 13:36:43"
"Human Coded 015: Turning Resistance into Buy-In &#8211; The Art of People Change Management",https://www.mandsconsulting.com/human-coded-015-turning-resistance-into-buy-in-the-art-of-people-change-management/,"Quinn Brewer","2025-09-15 13:47:52","2025-09-15 13:56:35"
"Human Coded 016: Blueprinting Organizational Change Management for Real Results",https://www.mandsconsulting.com/human-coded-016-blueprinting-organizational-change-management-for-real-results/,"Quinn Brewer","2025-09-15 14:06:57","2025-09-15 14:07:19"
"Human Coded 017: Why Great Technology Still Fails Without the Right People Behind It",https://www.mandsconsulting.com/human-coded-017-why-great-technology-still-fails-without-the-right-people-behind-it/,"Quinn Brewer","2025-09-15 14:17:19","2025-09-15 14:17:23"
"Human Coded 018: The Story of the Appalachian Software Factory",https://www.mandsconsulting.com/human-coded-018-the-story-of-the-appalachian-software-factory/,"Quinn Brewer","2025-09-15 14:45:17","2025-09-15 14:45:21"
"Human Coded 019: Monarch Learning Labs and the Future of Hands-On Learning",https://www.mandsconsulting.com/human-coded-019-monarch-learning-labs-and-the-future-of-hands-on-learning/,"Quinn Brewer","2025-09-15 15:08:21","2026-01-09 14:37:13"
"Human Coded 020: How GTD Speech Is Giving Time Back to Speech Therapists",https://www.mandsconsulting.com/human-coded-020-how-gtd-speech-is-giving-time-back-to-speech-therapists/,"Quinn Brewer","2025-09-15 15:23:00","2026-01-09 14:33:58"
"Human Coded 021: Exploring the Innovation Behind InnovAgents &#8211; Building User-Friendly Salesforce Apps",https://www.mandsconsulting.com/human-coded-021-exploring-the-innovation-behind-innovagents-building-user-friendly-salesforce-apps/,"Quinn Brewer","2025-09-15 15:28:35","2026-01-09 14:36:40"
"Human Coded 022: Transforming Business Workflows &#8211; A Deep Dive into Braided",https://www.mandsconsulting.com/human-coded-022-transforming-business-workflows-a-deep-dive-into-braided/,"Quinn Brewer","2025-09-15 15:33:29","2025-09-15 15:33:33"
"Human Coded 023: Revolutionizing Wayfinding &#8211; Following the Journey of get2there",https://www.mandsconsulting.com/human-coded-023-revolutionizing-wayfinding-following-the-journey-of-get2there/,"Quinn Brewer","2025-09-15 15:35:59","2025-09-15 15:36:03"
"Unlocking the Hidden Power of Your Law Firm&#8217;s Data",https://www.mandsconsulting.com/unlocking-the-hidden-power-of-your-law-firms-data/,"Leo Tomé","2025-09-15 15:48:46","2025-09-15 15:48:50"
"Agentforce Use Cases: How M&S Consulting Helps Organizations Automate and Scale",https://www.mandsconsulting.com/agentforce-use-cases-how-ms-consulting-helps-organizations-automate-and-scale/,"Quinn Brewer","2025-09-19 11:55:37","2025-09-19 11:56:47"
"Are You Sitting on Hidden Cash in Your Inventory?",https://www.mandsconsulting.com/are-you-sitting-on-hidden-cash-in-your-inventory/,"Jimmy Lutz","2025-10-23 13:38:38","2025-12-09 14:43:24"
"How Smart Law Firms Are Turning Data Into Profit and Power",https://www.mandsconsulting.com/law-firm-data-analytics-the-legal-industrys-digital-transformation-wake-up-call/,"Leo Tomé","2025-10-29 11:10:42","2025-10-29 12:54:32"
"Why Your Finance Team Still Dreads Month-End (And What Actually Works to Fix It)",https://www.mandsconsulting.com/why-your-finance-team-still-dreads-month-end-and-what-actually-works-to-fix-it/,"Jimmy Lutz","2025-11-10 17:39:30","2025-12-09 14:42:58"
"Stop Buying AI Tools That Don&#8217;t Work: What Actually Delivers in Legal Practice",https://www.mandsconsulting.com/stop-buying-ai-tools-that-dont-work-what-actually-delivers-in-legal-practice/,"Leo Tomé","2025-11-11 12:15:22","2025-12-09 14:42:49"
"Why Your Law Firm&#8217;s Tech Stack Is Probably a Mess (And How to Fix It)",https://www.mandsconsulting.com/why-your-law-firms-tech-stack-is-probably-a-mess-and-how-to-fix-it/,"Leo Tomé","2025-12-09 14:39:18","2025-12-09 14:42:39"
"Why Your Expensive Technology Sits Unused: The Change Management Problem Law Firms Ignore",https://www.mandsconsulting.com/why-your-expensive-technology-sits-unused-the-change-management-problem-law-firms-ignore/,"Leo Tomé","2026-01-13 17:51:44","2026-01-13 17:53:45"
"Four Law Firms That Actually Got Digital Transformation Right (And What They Did Differently)",https://www.mandsconsulting.com/four-law-firms-that-actually-got-digital-transformation-right-and-what-they-did-differently/,"Leo Tomé","2026-01-13 17:56:49","2026-01-13 17:56:53"
"The Money You&#8217;re Losing in Procurement (And Don&#8217;t Even Know It)",https://www.mandsconsulting.com/the-money-youre-losing-in-procurement-and-dont-even-know-it/,"Quinn Brewer","2026-03-30 12:03:24","2026-03-30 12:04:30"
"Why Your Customers Keep Asking &#8220;Where&#8217;s My Order?&#8221; (And How to Fix It for Good)",https://www.mandsconsulting.com/why-your-customers-keep-asking-wheres-my-order-and-how-to-fix-it-for-good/,"Quinn Brewer","2026-03-30 12:06:53","2026-03-30 12:06:58"
